region,year,temp_anomaly,temp_lower,temp_upper
Northern Hemisphere,1893,-0.1652586,-0.33629048,0.005773296
Southern Hemisphere,1893,-0.09671398,-0.2556043,0.06217635
World,1893,-0.13098629,-0.2659973,0.0040247235
Northern Hemisphere,1894,-0.046401333,-0.21408261,0.12127995
Southern Hemisphere,1894,-0.1831713,-0.34686968,-0.019472953
World,1894,-0.11478632,-0.258179,0.028606305
Northern Hemisphere,1895,-0.046637397,-0.21359177,0.120317034
Southern Hemisphere,1895,-0.10911574,-0.26774243,0.04951093
World,1895,-0.07787656,-0.21693264,0.061179467
Northern Hemisphere,1896,0.104054056,-0.054555427,0.26266354
Southern Hemisphere,1896,0.0666768,-0.089246236,0.22259982
World,1896,0.08536542,-0.04644259,0.21717344
Northern Hemisphere,1897,0.14531308,-0.015417645,0.30604383
Southern Hemisphere,1897,0.073305346,-0.092290215,0.23890091
World,1897,0.109309204,-0.02871119,0.24732961
Northern Hemisphere,1898,-0.02368171,-0.17781217,0.13044874
Southern Hemisphere,1898,-0.1964818,-0.3617181,-0.031245496
World,1898,-0.110081755,-0.24544589,0.025282392
Northern Hemisphere,1899,0.07397684,-0.080575295,0.22852898
Southern Hemisphere,1899,-0.034670945,-0.19152144,0.122179516
World,1899,0.019652942,-0.11072015,0.15002604
Northern Hemisphere,1900,0.20433767,0.051559675,0.3571157
Southern Hemisphere,1900,0.06326104,-0.10068872,0.2272108
World,1900,0.13379936,2.5049766e-4,0.2673482
Northern Hemisphere,1901,0.18384227,0.031925905,0.33575863
Southern Hemisphere,1901,-0.030228283,-0.1916829,0.1312263
World,1901,0.076807,-0.055596255,0.20921025
Northern Hemisphere,1902,-0.07051147,-0.22396208,0.08293911
Southern Hemisphere,1902,-0.076356225,-0.22908762,0.076375164
World,1902,-0.07343387,-0.2052205,0.058352776
Northern Hemisphere,1903,-0.12279058,-0.26415366,0.01857253
Southern Hemisphere,1903,-0.21971437,-0.37403992,-0.06538879
World,1903,-0.17125247,-0.2940092,-0.048495732
Northern Hemisphere,1904,-0.19010295,-0.33407873,-0.04612724
Southern Hemisphere,1904,-0.27611044,-0.4322454,-0.1199755
World,1904,-0.23310672,-0.36032057,-0.10589286
Northern Hemisphere,1905,-0.01179106,-0.14177735,0.11819523
Southern Hemisphere,1905,-0.07217782,-0.22326729,0.07891167
World,1905,-0.04198443,-0.16078793,0.07681904
Northern Hemisphere,1906,0.1338047,-0.01043869,0.27804807
Southern Hemisphere,1906,-0.0366258,-0.18361923,0.11036763
World,1906,0.048589446,-0.07290112,0.17008
Northern Hemisphere,1907,-0.14339007,-0.27186322,-0.014916996
Southern Hemisphere,1907,-0.12765214,-0.28279516,0.027490888
World,1907,-0.1355211,-0.25400954,-0.017032703
Northern Hemisphere,1908,-0.07848827,-0.21141137,0.054434825
Southern Hemisphere,1908,-0.20669803,-0.35483517999999997,-0.058560815
World,1908,-0.14259313,-0.26068556,-0.024500718
Northern Hemisphere,1909,-0.10194645,-0.22285898,0.01896607
Southern Hemisphere,1909,-0.23594025,-0.38188598,-0.08999457
World,1909,-0.16894333,-0.28019816,-0.057688557
Northern Hemisphere,1910,-0.084480025,-0.20815207,0.03919201
Southern Hemisphere,1910,-0.23176578,-0.37780276,-0.08572873
World,1910,-0.15812288,-0.2715884,-0.044657372
Northern Hemisphere,1911,-0.06706355,-0.18287207,0.048744965
Southern Hemisphere,1911,-0.284609,-0.42992857,-0.13928947
World,1911,-0.17583631,-0.28575146,-0.06592115
Northern Hemisphere,1912,-0.14384963,-0.25404865,-0.03365056
Southern Hemisphere,1912,-0.08052253,-0.21670452,0.055659447
World,1912,-0.11218607,-0.2136315,-0.010740599
Northern Hemisphere,1913,-0.10025064,-0.21515061,0.014649382
Southern Hemisphere,1913,-0.09886535,-0.253616,0.05588526
World,1913,-0.09955799,-0.20894615,0.009830127
Northern Hemisphere,1914,0.12209263,0.013402423,0.23078282
Southern Hemisphere,1914,0.086919196,-0.0704922,0.24433061
World,1914,0.104505904,-0.0032959192,0.21230775
Northern Hemisphere,1915,0.21285439,0.10220116,0.32350764
Southern Hemisphere,1915,0.13389425,-0.042152997,0.30994153
World,1915,0.17337433,0.055861004,0.29088765
Northern Hemisphere,1916,-0.057961654,-0.16273715,0.046813834
Southern Hemisphere,1916,-0.054565456,-0.24276665,0.13363573
World,1916,-0.05626356,-0.17665534,0.06412826
Northern Hemisphere,1917,-0.19494094,-0.30412686,-0.085755
Southern Hemisphere,1917,-0.16492626,-0.3654565,0.035603974
World,1917,-0.1799336,-0.30941504,-0.050452165
Northern Hemisphere,1918,-0.07832254,-0.1787708,0.022125712
Southern Hemisphere,1918,-0.045821812,-0.27205774,0.18041411
World,1918,-0.06207218,-0.2007743,0.076629974
