uri,author_handle,author_name,text,created_at,indexed_at,reply_count,repost_count,like_count,quote_count,bookmark_count,in_reply_to,in_reply_root,quotes
at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5nuazhrx62w,carlosgeovane.bsky.social,‏️#ϾG 🦋 ‏️»,#Eleições2024,2024-10-04T03:50:05Z,2024-10-04T03:49:15Z,0,0,0,0,0,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5nuaaiqso2o,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5nuaaiqso2o,NA
at://did:plc:h7flbed7qcdvqh62j6pzyfli/app.bsky.feed.post/3l5nsmr6cd32l,fabionuneznovo.bsky.social,Fábio Novo,"Com o apoio de todos, podemos transformar Teresina e reconstruir a cidade dos nossos sonhos. No dia 6 de outubro, vote 13!
#DebateA10 #Teresina #FuturoMelhor #Eleições2024",2024-10-04T03:20:00Z,2024-10-04T03:20:00Z,0,0,2,0,0,at://did:plc:h7flbed7qcdvqh62j6pzyfli/app.bsky.feed.post/3l5nsmk2qnd2o,at://did:plc:h7flbed7qcdvqh62j6pzyfli/app.bsky.feed.post/3l5nsm2qatr2l,NA
at://did:plc:min2uwrwxha423vd4wowkyto/app.bsky.feed.post/3l5nqzme2ac2i,chicozern.bsky.social,Chico Zé,"Conhecer um pouco sobre a FICHA LIMPA de Carlos Eduardo, candidato a prefeito de Natal. O que parece, segundo a notícia do G1 RN, Carlos Eduardo MENTIU quando falou que era ficha limpa no debate da InterTV Cabugi de Natal. Por tudo isso, VOTE em #natália13 #eleicoes2024 #debateInterTVcabugi #rn",2024-10-04T02:51:23Z,2024-10-04T02:51:23Z,0,0,1,0,0,at://did:plc:min2uwrwxha423vd4wowkyto/app.bsky.feed.post/3l5nqmwigyv2e,at://did:plc:min2uwrwxha423vd4wowkyto/app.bsky.feed.post/3l5nqmwigyv2e,NA
at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncurwubm2w,carlosgeovane.bsky.social,‏️#ϾG 🦋 ‏️»,"Bagé 
#RBSnotícias #Eleições2024",2024-10-03T22:39:01Z,2024-10-03T22:38:10Z,0,0,0,0,0,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncsq3rtu2d,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncj3ljws2z,NA
at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncsq3rtu2d,carlosgeovane.bsky.social,‏️#ϾG 🦋 ‏️»,"Erechim 
#RBSnotícias #Eleições2024",2024-10-03T22:37:52Z,2024-10-03T22:37:01Z,1,0,0,0,0,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncrffl6l2h,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncj3ljws2z,NA
at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncrffl6l2h,carlosgeovane.bsky.social,‏️#ϾG 🦋 ‏️»,"Santa Rosa 
#RBSnotícias #Eleições2024",2024-10-03T22:37:07Z,2024-10-03T22:36:16Z,1,0,0,0,0,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncp7jnyy2l,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncj3ljws2z,NA
at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncp7jnyy2l,carlosgeovane.bsky.social,‏️#ϾG 🦋 ‏️»,"Santa Maria 
#RBSnotícias #Eleições2024",2024-10-03T22:35:54Z,2024-10-03T22:35:03Z,1,0,0,0,0,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncnz7phu2w,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncj3ljws2z,NA
at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncnz7phu2w,carlosgeovane.bsky.social,‏️#ϾG 🦋 ‏️»,"Pelotas 
#RBSnotícias #Eleições2024",2024-10-03T22:35:13Z,2024-10-03T22:34:26Z,1,0,0,0,0,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5nclnlr4f2o,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncj3ljws2z,NA
at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5nclnlr4f2o,carlosgeovane.bsky.social,‏️#ϾG 🦋 ‏️»,"Caxias do Sul 
#RBSnotícias #Eleições2024",2024-10-03T22:33:54Z,2024-10-03T22:33:08Z,1,0,0,0,0,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5nckmetgv2o,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncj3ljws2z,NA
at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5nckmetgv2o,carlosgeovane.bsky.social,‏️#ϾG 🦋 ‏️»,#RBSnotícias #Eleições2024,2024-10-03T22:33:19Z,2024-10-03T22:32:28Z,2,0,0,0,0,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncj3ljws2z,at://did:plc:sn7b23h46p4l3hkhm6mwpwzm/app.bsky.feed.post/3l5ncj3ljws2z,NA
